"HASH_B9F9F000": "Maybe later, alright?"
"HASH_50BB81FF": "Then I'm good. Let's do this."
"HASH_8A153DFF": "Whoa, what the fuck's going on Kinzie?"
"HASH_ADD9BDFF": "This place is lit up like a Feed Dogs concert!"
"HASH_957CC5FF": "You and Gat secure the doors while I check on Kinzie."
"HASH_1BFC05FF": "These enemies, identified by some invaders as the Zin Empire, have delivered no ultimatum, no demands, they appear to be here solely to conquer the Earth."
"HASH_4FDB1A00": "Typical. Having SOMEONE ELSE fight your battles for you."
"HASH_5F02FA00": "But then I realized Asha would never be able to do this without some help."
"HASH_CF9DDA00": "I'm just trying to keep us alive, Matt."
"HASH_89F25600": "This sounds AWESOME!"
"HASH_07B51600": "Shit. The door's locked."
"HASH_D5932600": "Ain't nothin' unethical about that!"
"HASH_131EA200": "Continue to show me what the simulation can throw at you and I'll learn more about it."
"HASH_01F69E00": "Damn, they already boxed up the stuff. Hey, start checkin' the crates."
"HASH_450B8E00": "Face it, I'm faster than you!"
"HASH_164EB600": "I suppose you're right."
"HASH_1E374A00": "All soldiers on high alert! Special Prisoner 31 has escaped and is moving throughout the base. This is a kill order. Repeat: KILL ORDER."
"HASH_C18C0A00": "I know that.  You think I don't know that?"
"HASH_EF10AE00": "Oooof.  That hurt."
"HASH_4B497600": "I think there's a backup file of her somewhere in Kinzie's laptop."
"HASH_64C00A00": "I give up, what is it?"
"HASH_859E4A00": "Of course it's a cabbit."
"HASH_A29DD601": "All right, let's see what ol' what's-his-name can do."
"HASH_71F37201": "Any reason I can't change lanes?"
"HASH_666E5E01": "I'm fine.  Thanks."
"HASH_6E55AE01": "You changed so much."
"HASH_F3D58E01": "Shaundi, stop this!  You didn't kill Johnny, remember?  Phillipe did."
"HASH_A1451E01": "We need him in one piece...hes the only one who can help us find my friend Kinzie..."
"HASH_B0092A01": "Ugh, where the fuck are you, Kinzie?"
"HASH_86890201": "Sure, CID."
"HASH_790B0601": "You're on the client's time now. You do whatever needs to be done."
"HASH_DC93FE01": "Hope we can talk him off the ledge...he's the only one who can help my friend."
"HASH_9CBF6201": "With what?"
"HASH_A1AA2E01": "I'm sending you a tower I'd like you to climb.  I'd like to track some data on your jump ability for my personal records.  "
"HASH_B3168201": "Yes, I DID get my license at Freckle *BEEP-BEEP*! So what?"
"HASH_418CDE01": "Lights out!"
"HASH_67884201": "I like that Shaundi. She's a good soldier."
"HASH_34533601": "Next?!  Why not just skip to the main attraction?"
"HASH_3D5D5A01": "COME ON!"
"HASH_6D066E01": "The walking Napoleon Complex who tried to start World War Three just because he lost to a street gang? Never heard of him."
"HASH_4CBAAE01": "Matt, she dead this time?"
"HASH_BBAF9A01": "I'm gonna find that ugly mother..."
"HASH_A614E601": "I got a plan!"
"HASH_1131AA02": "Asha! Matt! GODDAMMIT."
"HASH_B9B36E02": "I'm looking for rough sex and Kinzie scares the shit out of me."
"HASH_DCEA8202": "No, Kinzie, it's power armor. Ha!"
"HASH_886F2A02": "This city isn't going to cut me ANY breaks.  "
"HASH_C0534602": "Wait.  Tanya?"
"HASH_24B86202": "Makes sense, now that you mention it.  Does this mean we can expect to run into Donnie?"
"HASH_0DE68E02": "You got this covered th--"
"HASH_5592F202": "That's all we ever had before.  Besides, I'm trying not to lose this guy you're so psyched about, remember."
"HASH_07492202": "Though seems like I picked a hell of a spot to crash."
"HASH_20311A02": "That so-called puckish rogue didn't even shed a tear when their best friend's girl was beheaded right in front of them."
"HASH_52DB8202": "Finis."
"HASH_EC0FFE02": "Whose army did you say this was?"
"HASH_96016E02": "Asha, about Matt..."
"HASH_889B0A02": "Yeah, I'm not feeling anything here."
"HASH_512FEA02": "How far away do I need to be?"
"HASH_E6F78602": "Oh man. This place. *BEEP* ME."
"HASH_3F5CD202": "Manually?"
"HASH_5473CA02": "*coughs*"
"HASH_0906A202": "I don't really sweat the details."
"HASH_E4B56602": "You're so kind."
"HASH_625C1203": "The higher you are, the more damage you should cause around your landing point."
"HASH_C3CF1603": "You'd do better to hire some actual guards, Veteran Child."
"HASH_3FD35A03": "Down there.  Looks like they're not alone. "
"HASH_6C7D6A03": "That, Kinzie, was sarcasm.  Remember how that works?"
"HASH_0BC0EA03": "That sounds awesome!"
"HASH_05B45E03": "Whoa!  What the fuck are you doing!"
"HASH_76457A03": "So what?  Just tell how to get around it."
"HASH_8D3D8A03": "Kinzie, it's power armor."
"HASH_F3E30603": "This world is as real as I make it.  Here I will be a god!"
"HASH_4DB67A03": "Done, Kinzie."
"HASH_66452A04": "Almost there! Just a few more defense controls to go."
"HASH_AA116604": "Remember when we used to grab cars off the road? Ah. Good times."
"HASH_E7064A04": "A dozen?!"
"HASH_360BD604": "Now they're at peace."
"HASH_64B31E04": "But when have you had the time to build a simulation?"
"HASH_41F36604": "I'll prang every last one of you!"
"HASH_88E8CA04": "Not now, King, I'm in the zone."
"HASH_A38AE204": "More of that order of operation, huh?"
"HASH_97D4CE04": "Fuck me."
"HASH_16990604": "Hell yeah. You got it, Johnny."
"HASH_111D1604": "Alright, I'll play your game.  Consider it done."
"HASH_986B0204": "Whoa. Little dizzy there."
"HASH_F2881A04": "So much for her giving up."
"HASH_BB92E204": "This one here, it's for Asha!"
"HASH_BD2B4604": "Yes, the improvement is positively...graphic."
"HASH_4CD57605": "Whoops..."
"HASH_E8616605": "Bon jour, Doris! Are we still on for tennis?"
"HASH_9CFF8A05": "Up ya go!"
"HASH_88A85A05": "Jesus, that thing is big."
"HASH_EBA66A05": "I touched it."
"HASH_DA41BE05": "Ta. Now I really should be going..."
"HASH_3B32E205": "I couldn't swear, I couldn't shoot anything..."
"HASH_A7AB5205": "Let's do this. Ha HA it's like in a movie... and shit."
"HASH_FBCFBE05": "Shoot the panel on the left!"
"HASH_B0C44A05": "Now how am I supposed to jump up that?"
"HASH_3D519E05": "Smoke 'em if you got 'em."
"HASH_37D1BA05": "So I'm just supposed to trust you?"
"HASH_E5BFDE05": "I'd kill for a nice, hot shower right about now.  You know, one with privacy."
"HASH_96AD4E05": "I really hope this is the real you--"
"HASH_02F08E05": "Find the cat fountain. I left you a present."
"HASH_B7E84205": "Pierce?  What the hell, he wouldn't say that."
"HASH_96497A05": "CID, it looks like we should leave now, no?"
"HASH_4C7EFE06": "Kinzie?!"
"HASH_13EE7A06": "There's no safehouses at all in the city..."
"HASH_7831CA06": "Hold on, are you putting in people who will try to kill me?"
"HASH_FA5BFE06": "No. And it's not your power armor. What am I walking into here, Kinzie?"
"HASH_59B9B206": "Neither could I.  Look, you can't blame-- what the hell?"
"HASH_3DC70206": "Let's do this.  Geronimo!"
"HASH_B9BCFE06": "Pierce, there's a giant fucking HAND out there!"
"HASH_FC2CC206": "The thug who launched a nuclear missile to take out America because he's a big baby that hates losing? Name rings a bell."
"HASH_757BC206": "Kinzie, focus. What do we do now?"
"HASH_C7ECEA06": "(This would make a camel jealous.)"
"HASH_6E0CF206": "Hell, maybe a few more stripper poles in the bedrooms."
"HASH_1719A606": "You're going down!"
"HASH_DDF11206": "BIG. But they haven't gotten to all of Earth yet. Just the major cities. Last I heard, Oleg was up at Camp David. That area doesn't look like it's been hit yet."
"HASH_EC5B1E07": "This is her, Kinzie.  Or it was."
"HASH_05639607": "We're lookin' for some nuclear waste."
"HASH_A9F07E07": "Yeah, and the Saints are my crew so get outta the way before I remind you why."
"HASH_08014A07": "The best and brightest from an *entire* planet? How big is this thing?"
"HASH_E3F6CE07": "Where did Zinyak put Kinzie?"
"HASH_C1A4A207": "Your people must hate your guts."
"HASH_A646FA07": "What happened to her?"
"HASH_F8157E07": "Bert to Ernie. Bert to Ernie. Activate South Portico defenses."
"HASH_3AB1BA07": "Well if it isn't the Stilwater default player..."
"HASH_FBE02607": "Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot"
"HASH_36CA5207": "Fuck! I..."
"HASH_645FAE07": "It is too bad, but I was hoping Shaundi would help clean my exterior shell.  I have a rather hard time reaching around to the back on my own."
"HASH_EDC1B207": "Does this place not have light switches?"
"HASH_C696C207": "My eyes are burning..."
"HASH_3C97FE07": "Well--"
"HASH_CC9A5207": "Hell yeah. That's what I'm talking about. Come on by for a proper congratulation."
"HASH_8A407E07": "Yeah, I'll be fine.  Boss, get going and open that last portal, then kick Zinyak's ass for me."
"HASH_481C7E07": "You haven't struck a bargain with Julius, have you?"
"HASH_9D659E07": "Tell me more about the guns on this thing..."
"HASH_D867D607": "When you're not trying to shove it down my throat, yeah."
"HASH_84FA6208": "Wasn't really sure what you were thinking bringing the ex-leader of a gang that tried to wipe out the Saints onto your staff, but King's actually a really cool guy.  It's good to have someone else who actually grew up around."
"HASH_D55E7208": "Uh, Kinzie?"
"HASH_D485EE08": "Not until we download the AI, no."
"HASH_EE4DCE08": "Whatcha gonna do now, Veteran Child?"
"HASH_E4599E08": "Thanks to your warm personality."
"HASH_7726CA08": "How many hits is this gonna take?!"
"HASH_817ACA08": "I don't remember changing clothes..."
"HASH_130F9E08": "How do I kill this thing, Kinzie?!"
"HASH_15750208": "*sigh* This simulation better be awesome, Matt."
"HASH_B8757E08": "We could of just come right for him or--"
"HASH_76C9BE08": "Warmer."
"HASH_D2916208": "Hit him again, boss!"
"HASH_19E43A08": "So King, your plan ready to go?"
"HASH_6B417E08": "Lies."
"HASH_9E178208": "Why on Earth did you name it Paul?"
"HASH_509D4E08": "Any help you can give would be nice..."
"HASH_93270E08": "Take over another Planet Zin.  I'd remind you it'll help with opening the door, but frankly who cares.  Just take our store back from that egomaniacal bastard."
"HASH_8791F609": "The studio demanded you, Josh. I had nothing to do with it."
"HASH_98837209": "She's in the park, King."
"HASH_4FEF2E09": "Plant some bombs around this walkway. I'm going inside."
"HASH_00AD1609": "Not now, King, I'm in the zone."
"HASH_18679609": "Holy shit. Are there humans in all of these pods?"
"HASH_67FA6A09": "So unlock them."
"HASH_04A7DA09": "C'mon, it's cute."
"HASH_E130F609": "It is important you succeed."
"HASH_0897C209": "Alright King, you ready to finish it?"
"HASH_B87DE609": "We snap at each other sometimes, and I don't always understand your methods, but there's no one I'd rather follow into battle."
"HASH_2FDB8A09": "This looks important. Let's blow this up."
"HASH_D259E609": "Compensated? What do you want?"
"HASH_C3CCEA09": "Too much sharing."
"HASH_7B54DA09": "Not much of a diplomat, eh? That'll cost you."
"HASH_8170F609": "What did they do now?"
"HASH_8B136A09": "Oh god, what's interesting?"
"HASH_4C397609": "There'll be better time to come, Ben, once we deal with Tony and Tanya."
"HASH_C85F9609": "Once you're free from this simulation, I can sever your connection to the Zin matrix. This will allow me to retrieve your body here in the real world without you suffering permanent brain damage."
"HASH_EC033A09": "Looks like they're bringing out tanks."
"HASH_C037A609": "Is this some kind of joke?"
"HASH_FCAEDA09": "The Saints."
"HASH_F991D20A": "Doesn't look like they're happy to see me."
"HASH_192C520A": "I'm all for being serious about dealing with problems, but that doesn't mean giving up on having a little fun in the process."
"HASH_6151120A": "Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!"
"HASH_F6F99E0A": "I'll just be getting the *beep* out of here."
"HASH_104F320A": "Can I help you?"
"HASH_7793960A": "Damn it Kinzie where are you?!"
"HASH_0616EA0A": "Where to CID?"
"HASH_074A920A": "I hope it's not a cookbook."
"HASH_AD6AFE0A": "Okay, time to lay low for a bit."
"HASH_04691E0A": "You have any bright ideas on how to get through this door, or am I just using brute force?"
"HASH_CC44CA0A": "So you have what you need now?"
"HASH_3685D20B": "This Saint is definitely not fire proof!"
"HASH_7B38120B": "I swear, every time I come home it's all \\"What'd you bring me? How come I never get to go on any raids...\\""
"HASH_99AC8E0B": "This absorption thing. It's not gonna give me a rash or anything, will it?"
"HASH_0290A60B": "You really don't believe I'd make it that easy for you to kill my new pet, do you?"
"HASH_4AB1D20B": "Got the virus. What's next?"
"HASH_EB00020B": "You're really reaching here..."
"HASH_C284CE0B": "That's it, you did great!  With all those access points back to the real world I'm a lot less worried you'll get trapped there now."
"HASH_A59B760B": "What kind of facility is this exactly?"
"HASH_CB041A0B": "Well. Fuck."
"HASH_7775620B": "Defend me already!"
"HASH_FAA3820B": "Ha! What idiot said that?"
"HASH_2C10660B": "I'm surprised how well folks are holding up. Me? I'm freaking the fuck out inside. Don't you tell anyone though."
"HASH_9D4F460B": "Fuck me running."
"HASH_73B63A0B": "What.  The.  Fuck."
"HASH_BD1C9A0B": "Don't even think you two can kill me."
"HASH_74559A0B": "Your people would get over it."
"HASH_884DC60B": "I want one of these for everyday use..."
"HASH_88211E0B": "Why are we running? I'm down for some murder."
"HASH_91ECEE0B": "Hold up. You saved Keith David before me?"
"HASH_5108560C": "So how do you know Keith?"
"HASH_43D8CA0C": "WOOOOO!"
"HASH_C636DA0C": "Why would you want to help me and how do you know who I even am?"
"HASH_BB23AE0C": "I'm sure you'll do a...fine job."
"HASH_DEFB1E0C": "I think I can do that."
"HASH_A5AB9A0C": "Well, here we are."
"HASH_9494360C": "Apparently the sweary part of the process."
"HASH_4EA7DE0C": "Up ya go!"
"HASH_0E5D820C": "Uh-uh."
"HASH_AF0E6A0C": "Ah CID. We are going to get along famously."
"HASH_ED075E0C": "Is it the one that's about to crash?"
"HASH_E9EBA20D": "Kill that fucker!"
"HASH_1E09520D": "Kinzie, the AI is demanding a body, or he won't help me break into other simulations. So, how do we get him one?"
"HASH_3EF98E0D": "Wrong door."
"HASH_AC881E0D": "We'll see about that."
"HASH_83878E0D": "DELETE"
"HASH_AFC3FA0D": "Where's Warren Williams? I'm here for Aisha. Get the fuck out of my way."
"HASH_38BCDE0D": "What would a plane ride be without some turbulence?  Perhaps you should stop and put on your safety belt."
"HASH_16AAEE0D": "Yeah. Pretty much."
"HASH_394D4A0D": "An attack en route to the main villain. Bravo, Matthew. Nice story structure."
"HASH_8A0AD60D": "Focus on the road. Let me handle the firepower."
"HASH_4850EE0D": "Nice, Asha. Real nice."
"HASH_C6F5E60D": "You think?"
"HASH_BBB17E0D": "Okay people, once we get there we get this thing unloaded and into the System as fast as we can, got it?"
"HASH_D147520D": "Shit, I don't think Pierce's own death is gonna break his stride."
"HASH_50E6220D": "Then we gotta move. STAY DOWN AND RUN."
"HASH_4F5FE20E": "After this is all over, are you two gonna play nice?"
"HASH_2F9D4A0E": "Kinzie? Kinzie, where are you?"
"HASH_82D3420E": "What is this, Kinzie?"
"HASH_D448C60E": "You kidding? Alien demolitions is, like, Presidential Training Day One."
"HASH_2894260E": "*sigh* If that psycho man-cat's around, we'll feed him to the Zin."
"HASH_78E55A0E": "Guards! To me!"
"HASH_F4AFC60E": "Kinzie, I'm at the last tower...let's finish this."
"HASH_979EFA0E": "It means the simulation doesn't like it, and we're able to control the area."
"HASH_3929CA0E": "Hold on, this isn't an upgrade to my mind powers."
"HASH_E09F920E": "But NyteBlayde still fights vampires? Along with fighting the Cyprian Order?"
"HASH_CE3D760E": "Shaundi says the mnemonic mapping fits the profile of Johnny."
"HASH_2F711E0E": "Please try not to destroy this ship. It's too beautiful to die. Like me."
"HASH_77F91A0E": "Take him out!"
"HASH_E4C2260E": "What... aw, hell."
"HASH_B2DA8E0E": "What is this place?"
"HASH_D9E1EA0F": "Hey, I thought this was a party. Let's dance!"
"HASH_0B72B20F": "Shaundi, check the cargo bay. It's just as vulnerable as the airlock. Gat, come with me."
"HASH_D3236A0F": "We're not done, hon."
"HASH_9379620F": "You get away from me! You stay away from me!"
"HASH_97881E0F": "Even your technology won't save you."
"HASH_2B33F60F": "Careful, you'll break Kinzie's heart by saying that."
"HASH_08070E0F": "Whatever this key is, whatever it does, let's get it and shut this nightmare down."
